"Livsmedelsverkets livsmedelsdatabas version 2023-06-13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Näringsinnehåll per 100 gram livsmedel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Livsmedelsnamn";"Livsmedelsnummer";"Gruppering";"Energi (kcal)";"Energi (kJ)";"Fett, totalt (g)";"Protein (g)";"Kolhydrater, tillgängliga (g)";"Fibrer (g)";"Vatten (g)";"Alkohol (g)";"Aska (g)";"Sockerarter, totalt (g)";"Monosackarider (g)";"Disackarider (g)";"Tillsatt socker (g)";"Fritt socker (g)";"Fullkorn totalt (g)";"Summa mättade fettsyror (g)";"Fettsyra 4:0-10:0 (g)";"Laurinsyra C12:0 (g)";"Myristinsyra C14:0 (g)";"Palmitinsyra C16:0 (g)";"Stearinsyra C18:0 (g)";"Arakidinsyra C20:0 (g)";"Summa enkelomättade fettsyror (g)";"Palmitoljesyra C16:1 (g)";"Oljesyra C18:1 (g)";"Summa fleromättade fettsyror (g)";"Linolsyra C18:2 (g)";"Linolensyra C18:3 (g)";"Arakidonsyra C20:4 (g)";"EPA (C20:5) (g)";"DPA (C22:5) (g)";"DHA (C22:6) (g)";"Kolesterol (mg)";"Vitamin A (RE/µg)";"Retinol (µg)";"Betakaroten/β-Karoten (µg)";"Vitamin D (µg)";"Vitamin E (mg)";"Vitamin K (µg)";"Tiamin (mg)";"Riboflavin (mg)";"Niacin (mg)";"Niacinekvivalenter (NE/mg)";"Vitamin B6 (mg)";"Folat (µg)";"Vitamin B12 (µg)";"Vitamin C (mg)";"Fosfor, P (mg)";"Jod, I (µg)";"Järn, Fe (mg)";"Kalcium, Ca (mg)";"Kalium, K (mg)";"Magnesium, Mg (mg)";"Natrium, Na (mg)";"Salt, NaCl (g)";"Selen, Se (µg)";"Zink, Zn (mg)";"Avfall (skal etc.) (%)"
"Tomat körsbärstomat röd";4937;"Grönsaker, baljväxter, svamp";25;105;0.1;0.8;4.4;1.5;92.5;0;0.6;4.1;4.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;80.4;0;965;0;1;6.1;0.05;0.03;0.87;1;0.14;25.7;0;33.7;37;0.2;0.4;11;320;14;3;0;0;0.1;0
"Tomat torkad m. olja avrunnen";4938;"Grönsaker, baljväxter, svamp";167;699;1.5;9.4;23.3;11;37;0;17.8;23;22.9;0.1;0;0;0;0.1;0;0;0;0.1;0;0;0.5;0;0.5;0.6;0.5;0;0;0;0;0;1;43.9;0;527;0;7;12.3;0.05;0.09;4.37;5.9;1.39;30.7;0;0;200;1;4.3;91;2300;110;4300;10.8;0;1.2;0
"Broccoli kokt u. salt frysvara";4939;"Grönsaker, baljväxter, svamp";26;107;0.3;2.4;2;2.7;92.2;0;0.4;1.2;1.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;48.5;0;576;0;1.6;196;0.04;0.09;0.2;0.6;0.08;98.3;0;35.4;48;2;0.5;33;150;16;12;0;0;0.2;0
"Spenat färsk";4941;"Grönsaker, baljväxter, svamp";24;101;0.4;3.3;0.8;2.1;91.2;0;2.3;0.3;0.2;0.1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.3;0;0.2;0;0;0;0;0;382.5;0;4540;0;1.9;357;0.11;0.17;0.6;1.2;0.28;202;0;36.7;45;4;2.1;83;730;95;100;0.2;10.8;0.9;0
"Mangold röd småbladig färsk";4942;"Grönsaker, baljväxter, svamp";16;67;0.5;2.1;0;1.5;94.4;0;1.5;0.2;0.2;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.3;0;0.2;0;0;0;0;0;175.3;0;2060;0;0.9;255;0.04;0.09;0.4;0.8;0.13;123;0;8.5;26;2;1.4;95;260;34;200;0.5;0;0.4;8
"Kruksallat";4946;"Grönsaker, baljväxter, svamp";13;53;0.2;1.9;0;1.6;95.9;0;0.7;0.9;0.8;0.1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;65.9;0;785;0;0.6;97.8;0.02;0.04;0.28;0.6;0.08;61.4;0;5.2;25;1;0.4;41;240;11;15;0;0;0.2;11
"Lök röd";4947;"Grönsaker, baljväxter, svamp";46;193;0.1;1.2;9;2;87.2;0;0.5;4.5;2.9;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0;0.16;0.4;0.17;27.9;0;9.2;34;2;0.2;26;200;11;3;0;0;0.2;11
"Kantarell gul rå";5007;"Grönsaker, baljväxter, svamp";24;102;0.3;1.7;2;3.2;92;0;0.8;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.2;0;0.1;0;0;0;0;0;75.4;0;906;15.37;0;0;0.04;0.13;3.94;4.23;0.02;4.2;0;0;40;2.1;0.6;3;384;7;1;0;0;0.7;11
"Hjort kronhjort kött rå";5043;"Kött";108;453;2;22.3;0;0;74.8;0;1;0;0;0;0;0;0;1;0;0;0.1;0.4;0.3;0;0.4;0.1;0.3;0.3;0.1;0;0;0;0;0;60.9;3.7;3.7;0;0;0.6;2.4;0.19;0.44;5.45;9.5;0.4;1.7;2.21;0;200;4.3;3;6;300;25;91;0.2;3.2;3.5;0
"Hjort dovhjort färs rå";5044;"Kött";134;559;5.1;21.8;0;0;72.1;0;1;0;0;0;0;0;0;3.2;0;0;0.3;1.2;1;0;1.1;0.1;1;0.4;0.2;0.1;0.1;0;0;0;70.6;7.7;7.7;0;0;0.5;2.7;0.16;0.35;5.32;9.3;0.36;1.7;2.39;0;210;5.2;3.3;48;310;23;80;0.2;5.4;4.2;0
"Ren kött kallrökt rå";5045;"Kött";132;554;2.7;26.2;0.5;0;66.9;0;3.7;0;0;0;0;0;0;1;0;0;0;0.5;0.4;0;0.8;0;0.7;0.6;0.3;0;0.1;0;0;0;81.2;3.2;3.2;0;0;0.5;0;0.42;0.98;10.1;14.9;0.55;1.4;2.81;0;270;6;4.7;4;400;30;1100;2.8;24.2;3.4;0
"Hjort skav rå";5046;"Kött";128;537;6.3;17.9;0;0;75.4;0;0.7;0;0;0;0;0;0;3.6;0;0;0.4;1.9;1;0;2;0.5;1.2;0.3;0.2;0.1;0;0;0;0;65.3;7.5;7.5;0;0;0.1;9.2;0.14;0.23;5.64;8.9;0.29;1.7;1.17;0;150;2.5;2.3;4;240;18;69;0.2;6.3;4;0
"Korv hjort rå";5047;"Kött";230;964;17.6;17;1.4;0;62.8;0;2.8;0.4;0.2;0.2;0;0;0;8.4;0;0;0.6;4.3;2.8;0;7.2;0.7;6.2;0.9;0.6;0.1;0;0;0;0;59.9;116.2;112;51;0;2.2;17.9;0.1;0.22;3.58;6.7;0.19;2.1;1.42;0;120;3.7;2.5;15;210;16;880;2.2;3.6;3.2;0
"Vildsvin bog rå";5048;"Kött";104;437;1.4;22.6;0;0;75;0;1;0;0;0;0;0;0;0.5;0;0;0;0.3;0.1;0;0.5;0;0.4;0.3;0.2;0;0;0;0;0;63.8;2.7;2.7;0;0;0.6;0;1.32;0.42;5.67;9.8;0.48;0.8;1.5;0;220;2.5;1.8;4;360;25;66;0.2;14.6;3.3;0
"Vildsvin filé rå";5049;"Kött";111;463;1.8;23.3;0;0;73.5;0;1;0;0;0;0;0;0;0.6;0;0;0;0.4;0.2;0;0.6;0;0.6;0.3;0.2;0;0;0;0;0;61.4;2.3;2.3;0;0;0.5;0;1.47;0.28;7.03;11.3;0.56;0.8;1.22;0;210;2.3;1.4;5;360;25;67;0.2;10.6;2.4;0
"Rådjur stek rå";5050;"Kött";106;442;1.1;23.6;0;0;74.7;0;1.1;0;0;0;0;0;0;0.5;0;0;0;0.2;0.2;0;0.3;0;0.2;0.2;0.2;0;0;0;0;0;65.3;2.9;2.9;0;0;1.1;3.1;0.31;0.52;6.63;11;0.5;1.7;2.68;0;230;2.1;2.6;5;360;27;65;0.2;8.7;2.5;0
"Vildsvin stek rå";5058;"Kött";105;439;1.3;23;0;0;74.7;0;1.1;0;0;0;0;0;0;0.4;0;0;0;0.2;0.1;0;0.4;0;0.4;0.3;0.2;0;0;0;0;0;69.9;2.3;2.3;0;0;0.6;0.4;1.64;0.46;7.19;11.4;0.59;0.8;1.33;0;230;2.8;2.4;4;380;27;65;0.2;13.9;2.5;0
"Korv kycklingkorv";5059;"Korv";197;826;13.6;9.4;9.6;0;64.8;0;2.6;1.2;1.2;0;1;1;0;4.2;0;0;0.1;3.1;0.8;0;6.6;0.8;5.6;2;1.8;0.2;0;0;0;0;63.5;179.9;176;45;0.46;3.1;44;0.06;0.08;3.66;5.4;0.11;4.7;0.25;0;170;35.4;1.1;34;250;12;730;1.8;4.2;0.6;0
"Vildsvin kött rå";5060;"Kött";107;446;1.5;23;0;0;74.4;0;1;0;0;0;0;0;0;0.5;0;0;0;0.3;0.2;0;0.5;0;0.5;0.3;0.2;0;0;0;0;0;65;2.4;2.4;0;0;0.6;0.1;1.48;0.39;6.63;10.8;0.54;1.6;1.35;0;220;2.6;1.8;4;367;26;66;0.2;13;2.7;0
"Rådjur bog rå";5064;"Kött";111;465;1.4;24.3;0;0;73.8;0;1;0;0;0;0;0;0;0.6;0;0;0;0.3;0.3;0;0.4;0;0.3;0.3;0.2;0;0;0;0;0;68.6;3.3;3.3;0;0;1.1;3;0.24;0.46;5.93;10.4;0.46;1.7;1.61;0;220;1.9;2.3;6;350;27;73;0.2;9.1;3.1;0
"Ren kött rå";5065;"Kött";109;456;1.7;23.1;0;0;74.3;0;1.1;0;0;0;0;0;0;0.7;0;0;0;0.3;0.2;0;0.5;0;0.5;0.3;0.2;0;0.1;0;0;0;67.7;3.7;3.7;0;0;0.8;0;0.32;0.48;9.32;13.6;0.44;1.7;2.94;0;225;5.8;3.5;4;355;27;70;0.2;18.5;4.1;0
"Nöt kött rå";5066;"Kött";128;534;4.2;22.2;0;0;72.3;0;1;0;0;0;0;0;0;1.9;0;0;0.1;0.9;0.7;0;1.6;0.1;1.4;0.3;0.2;0;0;0;0;0;58.4;7.5;4.9;31;0.03;0.7;3.4;0.08;0.19;5.68;9.8;0.38;4.8;1.19;0;190;2.7;2.6;5;328;23;64;0.2;7.5;4.6;0
"Lamm kött rå";5067;"Kött";164;686;9.4;19.9;0;0;69.2;0;1;0;0;0;0;0;0;4;0;0;0.4;1.9;1.3;0;3.7;0.2;3.4;0.7;0.4;0.1;0;0;0;0;65.5;11.2;11.2;0;0;0.3;9.7;0.18;0.24;6.35;10;0.3;1;1.43;0;193;4.5;1.7;8;305;24;72;0.2;7.1;3;0
"Lamm grytbitar rå";5068;"Kött";134;561;5.9;20.1;0;0;73.1;0;1;0;0;0;0;0;0;2.4;0;0;0.2;1.2;0.8;0;2.4;0.1;2.2;0.4;0.3;0.1;0;0;0;0;63.2;6.6;6.6;0;0;0.4;8;0.16;0.24;5.34;9;0.21;1;2.36;0;190;4.3;1.4;5;310;23;78;0.2;7.5;3.7;0
"Bordsmargarin fett 80% berikad typ Flora original";5085;"Fett, olja";708;2964;80;0.2;0;0;18.5;0;1.3;0.2;0;0.2;0;0;0;31;1.4;8.6;3.2;15.1;2.1;0.3;32.2;0.1;31.3;13.3;9.7;3.5;0;0;0;0;0;748.8;720;346;20;11.8;50;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;520;1.3;0;0;0
"Flytande matfettsblandning fett 80% berikad typ Ica raps- och smörolja";5087;"Fett, olja";710;2968;80;0.2;0.3;0;18;0;1.5;0.2;0;0.2;0;0;0;11.2;0.7;0.3;0.8;5.5;2.3;0.5;44.3;0.3;42.6;20.9;13.8;7.1;0;0;0;0;0;1178.8;1150;346;19.5;18.6;80.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;1.5;0;0;0
"Potatis höst kokt u. salt";5136;"Potatis";85;355;0.1;1.9;17.8;2.1;77.2;0;1;0.5;0.3;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;5;0;0.1;1.4;0.06;0.02;1.86;2.16;0.2;18.6;0;17.2;43;0;0.4;4;323;19;3;0;0;0.2;0
"Julmust påskmust";5147;"Dryck";34;141;0;0;8.3;0;91.7;0;0;8.3;0.4;7.9;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
"Slush drickf.";5149;"Dryck";41;173;0;0;10.2;0;89.8;0;0;10.2;6.6;3.6;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;4;0;0;0;0
"Mandeldryck berikad";5150;"Dryck";26;109;1.3;0;3.5;0.2;94.5;0;0.6;3.1;0;3.1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.93;2.9;0;0;0.2;0.09;0.1;0;0.4;0.38;0;67;0;0.1;133;16;6;49;0.1;0;0;0
"Alkoläsk kolsyrad dryck vol. % 4-5";5152;"Dryck";52;218;0;0;5.9;0;90;4.05;0;5.8;3;2.8;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;1;0;0;2;0;0;0;0
"Potatis kokt u. salt";5153;"Potatis";83;349;0.1;1.8;17.5;2.1;77.6;0;0.9;0.8;0.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;8;0;0.1;1.5;0.05;0.03;1.77;2.1;0.19;20.1;0;17.4;42;0;0.4;4;322;19;3;0;0;0.2;0
"Lasagne m. svarta bönor veg. ";5155;"Rätter";136;572;9.6;4.4;7.5;1.6;75.3;0;1.5;2.9;2;0.9;0;0;0;5.8;0.9;0.3;0.9;2.6;1;0;2.6;0.1;2.4;0.4;0.3;0.1;0;0;0;0;27.5;152.1;72.7;834;0.06;1.1;;0.04;0.06;0.63;1.57;0.07;14.6;0.15;4;81;17.8;0.6;103;169;16;288;0.7;1.3;0.5;1
"Tranbärsdryck drickf.";5184;"Dryck";39;164;0;0.2;9.4;0;90.4;0;0;8.3;5.1;3.2;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;11.3;1;5.6;0.1;7;11;2;2;0;0;0;0
"Barngröt ätf. flerkorn m. frukt berikad";5188;"Flingor, frukostflingor, müsli, gröt, välling";105;441;4.2;3.8;12.2;1.8;77.6;0;0.5;6.3;1.2;5.1;0;0;6;1.3;0;0;0;1;0.2;0;1.7;0;1.7;1;0.9;0;0;0;0;0;1.4;87.7;87.7;0;2.08;1.5;;0.12;0.21;0.81;1.68;0.11;15;0.35;21.2;105;26.3;2.8;156;200;20;38;0.1;1;1;
"Barngröt ätf. m. fullkorn frukt bär berikad";5189;"Flingor, frukostflingor, müsli, gröt, välling";105;438;4.1;3.8;12.4;1.4;77.6;0;0.7;5.1;1.5;3.8;0;0;8;1.3;0;0;0;1.1;0.2;0;1.8;0;1.8;1;0.9;0.1;0;0;0;0;1.2;79.2;0;0;1.15;1.5;;0.15;0.2;0.78;1.66;0.11;17.3;0.42;23.3;99;24;2.5;149;176;18;32;0.1;0.9;1;
"Barngröt ätf. m. frukt berikad";5190;"Flingor, frukostflingor, müsli, gröt, välling";105;441;4;3.5;13.1;1.3;77.8;0;0.2;7.1;1.8;5.3;0;0;3;1.3;0;0;0;1;0.1;0;1.7;0;1.7;1;0.9;0.1;0;0;0;0;1.4;92;91.6;4;1.85;1.5;;0.12;0.21;0.69;1.52;0.13;16.2;0.48;20.5;97;28.6;2.5;140;209;17;42;0.1;1;1;
"Barngröt ätf. ris mjölkfri berikad";5191;"Flingor, frukostflingor, müsli, gröt, välling";93;389;2.2;3.2;14.6;0.7;76.5;0;2.9;4;0;4;0;0;0;0.8;0.2;0;0.1;0.4;0.1;0;0.8;0;0.8;0.5;0.5;0;0;0;0;0;0.1;83.2;83.2;0;1.21;0.7;;0.21;0.15;0.78;1.09;0.11;16;0.09;15.8;77;8.7;2.9;132;85;18;30;0.1;1.1;1.5;
"Barngröt ätf. m. fullkorn frukt müsli";5192;"Flingor, frukostflingor, müsli, gröt, välling";66;274;1.5;2.5;10;0.6;84.5;0;0.8;3.8;1;2.6;0;0;3;0.4;0;0;0;0.3;0;0;0.7;0;0.7;0.3;0.2;0.1;0;0;0;0;0.8;40.4;39.5;11;1.5;0.5;;0.14;0.11;0.8;1.38;0.05;7;0.16;7.7;59;9.7;1.8;95;111;11;21;0;0.7;0.4;
"Barngröt ätf. m. yoghurt frukt berikad";5193;"Flingor, frukostflingor, müsli, gröt, välling";90;374;2.1;3.5;13.4;0.9;78.3;0;1.7;6.9;2.2;4.6;0;1;3;0.6;0;0;0;0.5;0.1;0;1.1;0;1.1;0.5;0.4;0.1;0;0;0;0;1.5;61.8;61.6;3;1.85;0.7;;0.23;0.16;0.95;1.78;0.1;10.8;0.25;10.8;92;11.1;2.5;132;176;19;27;0.1;1.1;0.6;
"Barngröt ätf. havre m. frukt berikad";5194;"Flingor, frukostflingor, müsli, gröt, välling";77;324;1.9;3.2;11.3;0.9;81.4;0;1.3;5.1;0.5;4.6;0;0;6;0.5;0;0;0;0.4;0.1;0;1;0;0.9;0.5;0.4;0.1;0;0;0;0;1;47.4;46.5;11;0.77;0.6;;0.18;0.12;0.72;1.45;0.09;13.5;0.19;9.5;85;9.7;1.9;111;151;18;23;0.1;0.9;0.5;
"Barngröt ätf. havre naturell berikad";5195;"Flingor, frukostflingor, müsli, gröt, välling";97;405;2.6;4.2;13.3;1.2;78.1;0;0.6;2;0.2;1.8;0;0;7;0.7;0;0;0;0.6;0.1;0;1.3;0;1.3;0.6;0.5;0.1;0;0;0;0;1.2;62.3;62.3;0;1.38;0.7;;0.25;0.15;1.18;2.17;0.13;10.2;0.25;10.6;108;11.1;2.5;140;155;20;29;0.1;1.2;0.7;
"Barngröt ätf. havre m. frukt bär berikad";5196;"Flingor, frukostflingor, müsli, gröt, välling";91;382;2.2;3.8;13.3;1.1;78.3;0;1.3;6.1;0.7;5.4;0;0;6;0.6;0;0;0;0.5;0.1;0;1.1;0;1.1;0.6;0.5;0.1;0;0;0;0;1.1;63.3;63;3;1.38;0.7;;0.25;0.15;1.11;1.98;0.1;14.3;0.23;9.7;101;11.5;2.8;145;177;21;29;0.1;1.2;0.7;
"Pepparsås";5218;"Rätter";224;937;21.2;1.9;6.6;0.9;67.4;0;2;4.3;1.6;2.6;2;2;0;13.6;1.6;0.7;2.2;6.5;2.1;0;5.3;0.4;4.6;0.6;0.4;0.1;0;0;0;0;60.5;194.7;177.1;207;0.06;0.7;;0.04;0.05;0.24;0.61;0.06;8.7;0.21;2;47;17.1;0.5;54;140;16;525;1.3;1;0.2;1
"Saffransris";5305;"Rätter";116;487;2;2.3;21.9;0.3;72.5;0;1;0.3;0.2;0.1;0;0;0;0.7;0.1;0;0.1;0.3;0.1;0;0.8;0;0.8;0.3;0.3;0.1;0;0;0;0;2.4;7.6;5.7;23;0.01;0.3;;0.01;0.01;0.17;0.55;0.1;3.2;0;0.2;40;24;0;2;25;4;303;0.8;0;0.4;0
"Gris kött rå";5447;"Kött";155;647;8.7;19.2;0;0;71;0;1.1;0;0;0;0;0;0;3.7;0;0;0.2;2.2;1.3;0;3.6;0.3;3.2;1;0.7;0;0;0;0;0;57;9;9;0;0.56;0.4;;0.79;0.28;6.68;10.2;0.48;3.6;0.67;0;178;0.2;1.3;9;338;25;61;0.2;10;2.4;19
"Gratäng zucchinigratäng m. kalvfärs";5452;"Rätter";118;494;8.8;6.1;3.1;1.4;79.5;0;1;2.8;2.3;0.5;0;0;0;4.6;0.4;0.2;0.6;2.3;1;0;3;0.2;2.6;0.6;0.4;0.1;0;0;0;0;28;73;46.8;312;0.04;0.9;;0.07;0.07;1.54;2.72;0.11;14.7;0.33;10;90;11.3;0.7;55;227;19;108;0.3;2.2;1.4;3
"Pastagratäng m. kyckling";5665;"Kyckling, fågel";175;731;11.9;7.7;9;1;68.7;0;1.7;2;0.9;1;0;0;0;6.9;1;0.3;1;3.2;1.2;0;3.3;0.2;3;0.6;0.5;0.1;0;0;0;0;49.4;128.4;86.6;496;0.21;0.9;;0.06;0.13;2.2;3.65;0.1;18.9;0.23;6.6;117;8.5;0.6;71;224;24;427;1.1;7.9;0.7;6
"Minimjölk fett < 0,1% berikad";5727;"Mejeri";35;147;0;3.6;4.9;0;90.6;0;0.8;4.9;0;4.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.1;4.7;4.6;1;1;0;0;0.05;0.15;0.07;0.9;0.04;14.8;0.59;0.6;105;12.2;0;124;166;11;41;0.1;1.6;0.4;0
"Örtagårdssås m. gräddfil";5753;"Rätter";285;1192;28.7;2.6;4.9;0.5;60.9;0;2.3;3.4;0.8;2.5;1;1;0;6.6;0.7;0.2;0.7;3.5;1.2;0.1;16;0.2;15.4;4.5;3.3;1.2;0;0;0;0;37.7;142.6;66.7;911;0.22;5.7;;0.05;0.15;0.39;0.95;0.07;27.3;0.2;19.9;70;83.7;0.7;123;207;14;633;1.6;2.2;0.6;1
"Köttfärssås Bolognese m. nötfärs bacon";5756;"Rätter";110;461;7.1;7.5;3.1;0.9;78.6;0.33;1.9;2.2;1.5;0.7;0;0;0;2.3;0;0;0.1;1.3;0.7;0;3.4;0.2;3.1;1;0.7;0.2;0;0;0;0;21.2;91.4;7.2;859;0.17;1.1;;0.06;0.05;1.73;3.08;0.1;7.2;0.26;2.4;79;26.2;0.8;17;159;15;471;1.2;2.2;1.7;2
"Aioli";5758;"Rätter";765;3201;85.1;1.6;1.4;0.1;10.7;0;0.8;0.2;0.1;0.1;0;0;0;9;0;0;0.1;6.4;1.9;0.4;55.8;0.5;54;16.5;12.1;4.3;0;0;0;0;73;52.1;51.7;4;0.67;19.9;;0.03;0.05;0.02;0.39;0.02;18.3;0.29;1.8;47;32.1;0.4;38;33;7;216;0.5;5.2;0.3;0
"Guacamole";5759;"Rätter";140;585;13.1;1.6;2.6;3.5;77;0;2.1;1.2;1;0.2;0;0;0;2.3;0;0;0;2.2;0.1;0;8.5;1;7.4;1.8;1.6;0.1;0;0;0;0;0;15.8;0;172;0;2.6;;0.06;0.07;1.37;1.64;0.28;83.1;0;15.3;54;31.2;0.3;16;477;25;244;0.6;0.3;0.3;22
"Pasta carbonara m. pasta fläsk grädde";5804;"Rätter";188;788;8.1;9.1;19;1.4;60.8;0;1.6;0.6;0.1;0.6;0;0;0;3.9;0.3;0.1;0.4;2.1;0.8;0;2.7;0.2;2.4;0.7;0.6;0.1;0;0;0;0;56;73;70.5;30;0.52;0.8;;0.08;0.16;0.74;2.58;0.05;13;0.56;0.1;132;39.4;0.7;97;73;18;390;1;4.7;1;1
"Fisk m. apelsin chili ugnsstekt";5837;"Rätter";201;841;13;17.5;3.7;0.1;64.7;0;1.7;2.5;0.9;1.6;1;1;0;5.3;0.7;0.2;0.8;2.5;0.9;0;4.8;0.1;4.6;1.7;1.1;0.5;0;0;0;0.1;75.7;89;75.3;164;1.09;2.3;;0.09;0.09;2.15;5.4;0.09;14.7;1.02;5.1;212;110.8;0.3;50;332;29;237;0.6;23;0.7;19
"Pulled pork gris m. marinad tillagad";5847;"Rätter";172;718;8.3;18.5;5.3;0.8;64.9;0;2.2;2.5;0.4;2.1;2;2;0;2.6;0;0;0.1;1.6;0.9;0;4.3;0.2;4;1;0.8;0.1;0.1;0;0;0;56.7;20.3;10.7;87;0.88;1.2;10.8;0.44;0.28;5.52;8.9;0.28;2.6;0.35;0.2;222;0;1.3;14;416;30;521;1.3;9.9;2.7;0
"Tropisk juice drickf.";5859;"Dryck";44;183;0;0.2;10.5;0;89;0;0.2;9.3;7;2.3;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.2;0;54;0;0.1;0.2;0.02;0;0.16;0.2;0.05;7.9;0;5.1;8;0.9;0.1;11;91;7;4;0;0;0;0
"Sojabönor färska förvällda u. skal";5860;"Grönsaker, baljväxter, svamp";130;546;6.4;10.9;4.9;5.1;71.4;0;1.4;1.7;0;1.7;0;0;0;0.7;0;0;0;0.5;0.2;0;2.2;0;2.2;2.2;1.9;0.3;0;0;0;0;0;11.1;0;117;0;1.4;46.4;0.28;0.1;1.05;2.9;0.14;323;0;15.7;146;0;2.2;89;374;54;7;0;0;1.2;0
"Sparris grön kokt m. salt";5861;"Grönsaker, baljväxter, svamp";22;91;0.2;1.9;1.8;2.5;92.9;0;0.7;1.7;1.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.5;0;289;0;1.2;40.8;0.08;0.12;0.92;1.2;0.08;186;0;5.4;37;0;0.5;19;163;10;36;0.1;3.9;0.4;0
"Kålrot kokt";5862;"Grönsaker, baljväxter, svamp";34;141;0.1;1.3;5;3.9;89.2;0;0.6;4.7;4.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;23;0;0;4.6;0.05;0.04;1.43;1.6;0.18;57.6;0;53.4;33;0;0.3;47;157;10;9;0;0;0.2;0
"Brysselkål kokt";5863;"Grönsaker, baljväxter, svamp";41;173;0;2.6;5.5;4.3;86.5;0;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.8;0;187;0;0.3;272;0.08;0.08;0.58;1;0.26;124;0;131;62;0;0.5;32;292;14;94;0.2;7;0.3;0
"Rotselleri kokt";5864;"Grönsaker, baljväxter, svamp";25;105;0.5;1;2.7;2.9;92;0;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;4;0;0.4;1.1;0.04;0.06;0.56;0.7;0.24;63.6;0;5.7;74;0;0.4;32;263;13;45;0.1;0;0.4;0
"Gula ärtor kokta m. salt";5865;"Grönsaker, baljväxter, svamp";128;534;0.6;8.4;16.4;11.2;62.3;0;1.1;0.5;0;0.5;0;0;0;0.3;0.1;0;0;0.1;0.1;0;0.1;0;0.1;0.1;0.1;0;0;0;0;0;0;0.2;0;2;0;0;5;0.18;0.05;0.64;2;0;3.8;0;0.1;123;0;1.5;36;192;35;126;0.3;0;1.1;0
"Bruna bönor torkade kokta m. salt";5866;"Grönsaker, baljväxter, svamp";137;573;0.9;8.8;16.8;13.2;58.8;0;1.5;0;0;0;0;0;0;0.2;0;0.1;0;0.1;0;0;0.1;0;0.1;0.4;0.2;0.2;0;0;0;0;0;0.1;0;1;0;0;8;0.17;0.06;0.66;2.1;0.1;59.3;0;0;190;34.1;2.2;39;292;49;188;0.5;0;1.1;0
"Gråärtor kokta m. salt";5867;"Grönsaker, baljväxter, svamp";130;544;0.5;10.2;16.6;8.6;62.3;0;1.7;0;0;0;0;0;0;0.3;0;0.1;0;0.1;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;0.5;0;6;0;0.2;11;0.02;0.09;0.71;2.4;0.08;3.8;0;0;185;31.7;2;52;290;39;250;0.6;7.8;1.6;0
"Åkerbönor torkade kokta m. salt";5868;"Grönsaker, baljväxter, svamp";134;562;0.5;10.2;18.4;7.1;62.2;0;1.6;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0.1;0;0.1;0.2;0.2;0;0;0;0;0;0;0.2;0;2;0;0;5.4;0.17;0.04;0.83;2.5;0.03;0;0;0;220;25.3;1.5;42;278;45;254;0.6;0;1.2;0
